SiteName,Los Angeles CA
ShortName,Los Angeles
SiteLongitude,-117.9000
SiteLatitude,34.0000
StartDate,EndDate,BEHRNO2,O3_VMR,O3_tVCD
2005-01-01,2005-01-31,1.769e+16,0.001813,2.44e+17
2005-02-01,2005-02-28,1.304e+16,0.001479,2.479e+17
2005-03-01,2005-03-31,1.521e+16,0.001747,2.439e+17
2005-04-01,2005-04-30,1.452e+16,0.001834,2.373e+17
2005-05-01,2005-05-31,1.336e+16,0.002136,2.34e+17
2005-06-01,2005-06-30,1.309e+16,0.001645,2.382e+17
2005-07-01,2005-07-31,9.927e+15,0.002451,2.496e+17
2005-08-01,2005-08-31,1.243e+16,0.001862,2.552e+17
2005-09-01,2005-09-30,1.452e+16,0.001704,2.518e+17
2005-10-01,2005-10-31,1.635e+16,0.001996,2.536e+17
2005-11-01,2005-11-30,1.747e+16,0.001672,2.493e+17
2005-12-01,2005-12-31,2.042e+16,0.003041,2.503e+17
2006-01-01,2006-01-31,1.43e+16,0.002142,2.392e+17
2006-02-01,2006-02-28,1.661e+16,0.001802,2.348e+17
2006-03-01,2006-03-31,1.505e+16,0.001736,2.457e+17
2006-04-01,2006-04-30,1.189e+16,0.001593,2.402e+17
2006-05-01,2006-05-31,1.367e+16,0.002633,2.375e+17
2006-06-01,2006-06-30,1.151e+16,0.002154,2.399e+17
2006-07-01,2006-07-31,8.791e+15,0.002088,2.454e+17
2006-08-01,2006-08-31,1.099e+16,0.002156,2.538e+17
2006-09-01,2006-09-30,1.282e+16,0.001882,2.471e+17
2006-10-01,2006-10-31,1.55e+16,0.003409,2.591e+17
2006-11-01,2006-11-30,1.649e+16,0.001863,2.608e+17
2006-12-01,2006-12-31,1.568e+16,0.001795,2.547e+17
2007-01-01,2007-01-31,1.351e+16,0.002122,2.541e+17
2007-02-01,2007-02-28,1.472e+16,0.0118,2.541e+17
2007-03-01,2007-03-31,1.548e+16,0.004753,2.615e+17
2007-04-01,2007-04-30,1.364e+16,0.002319,2.448e+17
2007-05-01,2007-05-31,1.233e+16,0.002134,2.375e+17
2007-06-01,2007-06-30,1.143e+16,0.002093,2.402e+17
2007-07-01,2007-07-31,8.811e+15,0.002446,2.524e+17
2007-08-01,2007-08-31,1.096e+16,0.002921,2.591e+17
2007-09-01,2007-09-30,1.238e+16,0.002685,2.553e+17
2007-10-01,2007-10-31,1.405e+16,0.002217,2.598e+17
2007-11-01,2007-11-30,1.59e+16,0.001947,2.593e+17
2007-12-01,2007-12-31,1.255e+16,0.001624,2.545e+17
2008-01-01,2008-01-31,1.322e+16,0.001709,2.629e+17
2008-02-01,2008-02-29,1.517e+16,0.001456,2.465e+17
2008-03-01,2008-03-31,1.357e+16,0.001916,2.36e+17
2008-04-01,2008-04-30,1.026e+16,0.002031,2.363e+17
2008-05-01,2008-05-31,1.054e+16,0.001969,2.39e+17
2008-06-01,2008-06-30,9.48e+15,0.002664,2.43e+17
2008-07-01,2008-07-31,7.588e+15,0.002036,2.512e+17
2008-08-01,2008-08-31,8.649e+15,0.001774,2.575e+17
2008-09-01,2008-09-30,9.923e+15,0.001692,2.53e+17
2008-10-01,2008-10-31,1.196e+16,0.001825,2.508e+17
2008-11-01,2008-11-30,1.237e+16,0.001521,2.524e+17
2008-12-01,2008-12-31,1.283e+16,0.001658,2.65e+17
2009-01-01,2009-01-31,1.195e+16,0.001631,2.392e+17
2009-02-01,2009-02-28,1.057e+16,0.001738,2.029e+17
2009-03-01,2009-03-31,1.18e+16,0.001564,2.542e+17
2009-04-01,2009-04-30,8.512e+15,0.002238,2.517e+17
2009-05-01,2009-05-31,8.202e+15,0.001788,2.456e+17
2009-06-01,2009-06-30,7.9e+15,0.001833,2.488e+17
2009-07-01,2009-07-31,6.53e+15,0.003427,2.57e+17
2009-08-01,2009-08-31,8.092e+15,0.001859,2.616e+17
2009-09-01,2009-09-30,9.096e+15,0.001603,2.647e+17
2009-10-01,2009-10-31,9.235e+15,0.001376,2.454e+17
2009-11-01,2009-11-30,1.111e+16,0.005146,2.593e+17
2009-12-01,2009-12-31,1.151e+16,0.001476,2.356e+17
2010-01-01,2010-01-31,1.009e+16,0.001497,2.362e+17
2010-02-01,2010-02-28,1.231e+16,0.001926,2.348e+17
2010-03-01,2010-03-31,9.394e+15,0.001906,2.704e+17
2010-04-01,2010-04-30,9.335e+15,0.001846,2.6e+17
2010-05-01,2010-05-31,7.846e+15,0.001801,2.518e+17
2010-06-01,2010-06-30,7.743e+15,0.001994,2.548e+17
2010-07-01,2010-07-31,6.42e+15,0.001925,2.678e+17
2010-08-01,2010-08-31,7.826e+15,0.001948,2.678e+17
2010-09-01,2010-09-30,9.697e+15,0.002129,2.716e+17
2010-10-01,2010-10-31,9.244e+15,0.001527,2.498e+17
2010-11-01,2010-11-30,9.817e+15,0.002122,2.533e+17
2010-12-01,2010-12-31,1.39e+16,0.001921,2.524e+17
2011-01-01,2011-01-31,1.139e+16,0.001802,2.628e+17
2011-02-01,2011-02-28,1.08e+16,0.001729,2.509e+17
2011-03-01,2011-03-31,9.422e+15,0.002227,2.669e+17
2011-04-01,2011-04-30,7.93e+15,0.00179,2.531e+17
2011-05-01,2011-05-31,8.486e+15,0.001875,2.497e+17
2011-06-01,2011-06-30,7.011e+15,0.002948,2.536e+17
2011-07-01,2011-07-31,5.727e+15,0.001772,2.642e+17
2011-08-01,2011-08-31,7.351e+15,0.002676,2.705e+17
2011-09-01,2011-09-30,8.807e+15,0.005302,2.643e+17
2011-10-01,2011-10-31,9.946e+15,0.00157,2.731e+17
2011-11-01,2011-11-30,9.358e+15,0.004075,2.393e+17
2011-12-01,2011-12-31,1.07e+16,0.002115,2.593e+17
2012-01-01,2012-01-31,1.008e+16,0.001619,2.492e+17
2012-02-01,2012-02-29,1.006e+16,0.002524,2.503e+17
2012-03-01,2012-03-31,1.01e+16,0.001775,2.625e+17
2012-04-01,2012-04-30,8.103e+15,0.001835,2.48e+17
2012-05-01,2012-05-31,7.871e+15,0.002181,2.568e+17
2012-06-01,2012-06-30,6.97e+15,0.002413,2.555e+17
2012-07-01,2012-07-31,5.827e+15,0.002142,2.7e+17
2012-08-01,2012-08-31,6.222e+15,0.002257,2.769e+17
2012-09-01,2012-09-30,8.151e+15,0.001802,2.769e+17
2012-10-01,2012-10-31,9.01e+15,0.001886,2.665e+17
2012-11-01,2012-11-30,9.837e+15,0.001682,2.565e+17
2012-12-01,2012-12-31,1.075e+16,0.001736,2.426e+17
2013-01-01,2013-01-31,1.078e+16,0.002236,2.455e+17
2013-02-01,2013-02-28,1.013e+16,0.001827,2.415e+17
2013-03-01,2013-03-31,9.407e+15,0.00218,2.798e+17
2013-04-01,2013-04-30,6.835e+15,0.002523,2.655e+17
2013-05-01,2013-05-31,6.79e+15,0.001828,2.584e+17
2013-06-01,2013-06-30,6.233e+15,0.00251,2.624e+17
2013-07-01,2013-07-31,5.266e+15,0.002182,2.768e+17
2013-08-01,2013-08-31,6.416e+15,0.002211,2.812e+17
2013-09-01,2013-09-30,7.373e+15,0.001895,2.771e+17
2013-10-01,2013-10-31,1.039e+16,0.001807,2.86e+17
2013-11-01,2013-11-30,1.021e+16,0.002106,2.768e+17
2013-12-01,2013-12-31,1.073e+16,0.002236,2.489e+17
2014-01-01,2014-01-31,1.044e+16,0.002408,2.706e+17
2014-02-01,2014-02-28,9.716e+15,0.002057,2.747e+17
2014-03-01,2014-03-31,8.064e+15,0.002098,2.85e+17
2014-04-01,2014-04-30,6.683e+15,0.002342,2.594e+17
2014-05-01,2014-05-31,6.052e+15,0.002538,2.538e+17
2014-06-01,2014-06-30,5.611e+15,0.002789,2.578e+17
2014-07-01,2014-07-31,5.006e+15,0.00205,2.742e+17
2014-08-01,2014-08-31,5.966e+15,0.002527,2.789e+17
2014-09-01,2014-09-30,6.907e+15,0.002344,2.863e+17
2014-10-01,2014-10-31,8.765e+15,0.001912,2.749e+17
2014-11-01,2014-11-30,8.763e+15,0.002045,2.71e+17
2014-12-01,2014-12-31,8.414e+15,0.002083,2.538e+17
2015-01-01,2015-01-31,9.205e+15,0.001678,2.391e+17
2015-02-01,2015-02-28,8.674e+15,0.002437,2.71e+17
2015-03-01,2015-03-31,8.339e+15,0.002434,2.866e+17
2015-04-01,2015-04-30,7.012e+15,0.00195,2.736e+17
2015-05-01,2015-05-31,6.448e+15,0.003914,2.579e+17
2015-06-01,2015-06-30,6.232e+15,0.002107,2.676e+17
2015-07-01,2015-07-31,4.586e+15,0.002482,2.744e+17
2015-08-01,2015-08-31,5.432e+15,0.001731,2.754e+17
2015-09-01,2015-09-30,6.888e+15,0.002121,2.859e+17
2015-10-01,2015-10-31,8.433e+15,0.001621,2.887e+17
2015-11-01,2015-11-30,8.18e+15,0.001973,2.843e+17
2015-12-01,2015-12-31,1.079e+16,0.001801,2.745e+17
