SiteName,Washington DC
SiteLongitude,-76.8000
SiteLatitude,39.1500
StartDate,EndDate,BEHRNO2
2005-01-01,2005-01-31,9.078e+15
2005-02-01,2005-02-28,1.487e+16
2005-03-01,2005-03-31,1.231e+16
2005-04-01,2005-04-30,1.253e+16
2005-05-01,2005-05-31,8.99e+15
2005-06-01,2005-06-30,7.264e+15
2005-07-01,2005-07-31,6.257e+15
2005-08-01,2005-08-31,8.471e+15
2005-09-01,2005-09-30,9.682e+15
2005-10-01,2005-10-31,1.307e+16
2005-11-01,2005-11-30,1.282e+16
2005-12-01,2005-12-31,1.692e+16
2006-01-01,2006-01-31,1.268e+16
2006-02-01,2006-02-28,1.194e+16
2006-03-01,2006-03-31,1.03e+16
2006-04-01,2006-04-30,1.112e+16
2006-05-01,2006-05-31,9.252e+15
2006-06-01,2006-06-30,7.365e+15
2006-07-01,2006-07-31,6.041e+15
2006-08-01,2006-08-31,7.923e+15
2006-09-01,2006-09-30,9.601e+15
2006-10-01,2006-10-31,1.158e+16
2006-11-01,2006-11-30,1.268e+16
2006-12-01,2006-12-31,1.397e+16
2007-01-01,2007-01-31,1.101e+16
2007-02-01,2007-02-28,1.047e+16
2007-03-01,2007-03-31,9.553e+15
2007-04-01,2007-04-30,1.094e+16
2007-05-01,2007-05-31,8.34e+15
2007-06-01,2007-06-30,6.414e+15
2007-07-01,2007-07-31,5.422e+15
2007-08-01,2007-08-31,8.173e+15
2007-09-01,2007-09-30,8.153e+15
2007-10-01,2007-10-31,1.247e+16
2007-11-01,2007-11-30,1.221e+16
2007-12-01,2007-12-31,1.198e+16
2008-01-01,2008-01-31,1.037e+16
2008-02-01,2008-02-29,1.084e+16
2008-03-01,2008-03-31,9.362e+15
2008-04-01,2008-04-30,9.858e+15
2008-05-01,2008-05-31,7.032e+15
2008-06-01,2008-06-30,6.23e+15
2008-07-01,2008-07-31,6.267e+15
2008-08-01,2008-08-31,6.038e+15
2008-09-01,2008-09-30,6.41e+15
2008-10-01,2008-10-31,9.694e+15
2008-11-01,2008-11-30,8.831e+15
2008-12-01,2008-12-31,1.084e+16
2009-01-01,2009-01-31,9.235e+15
2009-02-01,2009-02-28,9.79e+15
2009-03-01,2009-03-31,8.138e+15
2009-04-01,2009-04-30,7.513e+15
2009-05-01,2009-05-31,6.298e+15
2009-06-01,2009-06-30,6.108e+15
2009-07-01,2009-07-31,5.029e+15
2009-08-01,2009-08-31,6.193e+15
2009-09-01,2009-09-30,5.816e+15
2009-10-01,2009-10-31,5.39e+15
2009-11-01,2009-11-30,7.963e+15
2009-12-01,2009-12-31,8.434e+15
2010-01-01,2010-01-31,9.358e+15
2010-02-01,2010-02-28,6.028e+15
2010-03-01,2010-03-31,8.97e+15
2010-04-01,2010-04-30,7.22e+15
2010-05-01,2010-05-31,5.86e+15
2010-06-01,2010-06-30,5.886e+15
2010-07-01,2010-07-31,5.698e+15
2010-08-01,2010-08-31,6.76e+15
2010-09-01,2010-09-30,7.01e+15
2010-10-01,2010-10-31,7.121e+15
2010-11-01,2010-11-30,8.502e+15
2010-12-01,2010-12-31,1.148e+16
2011-01-01,2011-01-31,8.16e+15
2011-02-01,2011-02-28,9.686e+15
2011-03-01,2011-03-31,6.826e+15
2011-04-01,2011-04-30,4.739e+15
2011-05-01,2011-05-31,6.032e+15
2011-06-01,2011-06-30,4.927e+15
2011-07-01,2011-07-31,5.052e+15
2011-08-01,2011-08-31,5.523e+15
2011-09-01,2011-09-30,5.038e+15
2011-10-01,2011-10-31,7.875e+15
2011-11-01,2011-11-30,9.722e+15
2011-12-01,2011-12-31,8.84e+15
2012-01-01,2012-01-31,8.649e+15
2012-02-01,2012-02-29,7.412e+15
2012-03-01,2012-03-31,6.952e+15
2012-04-01,2012-04-30,5.945e+15
2012-05-01,2012-05-31,6.541e+15
2012-06-01,2012-06-30,5.335e+15
2012-07-01,2012-07-31,4.487e+15
2012-08-01,2012-08-31,6.578e+15
2012-09-01,2012-09-30,6.416e+15
2012-10-01,2012-10-31,8.342e+15
2012-11-01,2012-11-30,8.234e+15
2012-12-01,2012-12-31,1.23e+16
2013-01-01,2013-01-31,8.843e+15
2013-02-01,2013-02-28,8.005e+15
2013-03-01,2013-03-31,5.984e+15
2013-04-01,2013-04-30,6.529e+15
2013-05-01,2013-05-31,4.998e+15
2013-06-01,2013-06-30,4.986e+15
2013-07-01,2013-07-31,3.698e+15
2013-08-01,2013-08-31,5.202e+15
2013-09-01,2013-09-30,6.881e+15
2013-10-01,2013-10-31,7.978e+15
2013-11-01,2013-11-30,8.084e+15
2013-12-01,2013-12-31,7.236e+15
2014-01-01,2014-01-31,7.015e+15
2014-02-01,2014-02-28,7.802e+15
2014-03-01,2014-03-31,6.544e+15
2014-04-01,2014-04-30,5.3e+15
2014-05-01,2014-05-31,5.094e+15
2014-06-01,2014-06-30,4.57e+15
2014-07-01,2014-07-31,3.969e+15
2014-08-01,2014-08-31,5.258e+15
2014-09-01,2014-09-30,5.249e+15
2014-10-01,2014-10-31,8.322e+15
2014-11-01,2014-11-30,7.92e+15
2014-12-01,2014-12-31,7.606e+15
2015-01-01,2015-01-31,8.521e+15
2015-02-01,2015-02-28,7.075e+15
2015-03-01,2015-03-31,5.872e+15
2015-04-01,2015-04-30,5.619e+15
2015-05-01,2015-05-31,5.264e+15
2015-06-01,2015-06-30,4.467e+15
2015-07-01,2015-07-31,4.283e+15
2015-08-01,2015-08-31,5.078e+15
2015-09-01,2015-09-30,6.067e+15
2015-10-01,2015-10-31,7.586e+15
2015-11-01,2015-11-30,6.731e+15
2015-12-01,2015-12-31,1.065e+16
